


ID,UNIT_NAME,UNIT_USCC,SAFER_NAME,SAFER_ID,SAFER_PHONE,SAFER_EMAIL,IS_RECORDED,RECORDED_CODE,IP_ADDRESS
0,立信电子网络有限公司,717761201952857786,徐萍,330601197503247281,15013169505,fch@fjjzwl.com,0,80285361446,192.88.107.193
1,网新恒天传媒有限公司,296154249513110934,陈玲,210882200106268165,13952525960,fch@fjjzwl.com,0,89641630512,203.1.190.153
2,晖来计算机科技有限公司,199241845893910802,张丽丽,530126199106059873,18838111478,fch@jzwl.com,0,43377030772,192.52.177.251
3,九方信息有限公司,458084715433948446,张桂芳,361002197908226841,18070227218,fch@jzwl.com,0,38409084818,203.46.9.44
4,创汇网络有限公司,257592833188238695,王兰英,411726195610254561,18166366153,fch@jzwl.com,0,76791538344,192.31.5.129
5,恩悌网络有限公司,618268188059602354,邹文,520300196101040446,15658944723,fch@jzwl.com,0,92666751666,192.93.91.52
6,时刻网络有限公司,465952185476554579,邱浩,210303196006195024,18865152513,fch@jzwl.com,0,87197892869,192.31.232.106
7,双敏电子传媒有限公司,548131633954670895,范俊,511800193602245661,14712871021,fch@jzwl.com,0,54690695876,169.24.137.35
8,联通时科网络有限公司,540014223031228504,王丽丽,530300197506177834,13939712933,fch@jzwl.com,0,78952378956,175.18.130.99
9,艾提科信网络有限公司,415172869147037781,王峰,371324195807094920,15753865650,fch@jzwl.com,0,62288396090,192.89.87.78
10,信诚致远传媒有限公司,136639617587937640,杜洋,210624197607278143,13471776313,fch@jzwl.com,0,34678529097,169.251.65.138
13,方正科技传媒有限公司,636917338976093120,陈燕,630104200512043624,13059488360,fch@jzwl.com,0,51235609952,192.20.105.244
15,太极网络有限公司,836162267100083532,周斌,210811197007187546,13466663395,fch@jzwl.com,0,68088926977,203.74.122.174
14,万迅电脑传媒有限公司,402639057276058395,谭秀芳,654023199609027773,18506261872,fch@jzwl.com,0,99121848081,192.25.236.103
11,华成育卓传媒有限公司,198613159971974709,张瑜,150222200303191376,13455410970,fch@jzwl.com,0,19012975272,198.64.114.248
16,海创网络有限公司,865515677195479961,赵玉华,46900619780802646X,14598084180,fch@jzwl.com,0,15421192059,198.55.206.50
12,戴硕电子信息有限公司,283812711337540444,卢婷婷,431221196509014466,15530155387,fch@jzwl.com,0,17587325648,100.199.212.78
20,国讯科技有限公司,797945484088729860,林艳,422800196702232297,15568491543,fch@jzwl.com,0,13376074661,65.208.83.54
19,银嘉传媒有限公司,638420644478312336,周成,210213200005245591,18800457165,fch@jzwl.com,0,12284172117,192.75.30.250
18,恒聪百汇科技有限公司,317373220660245393,常文,410725198105093361,13390357264,fch@jzwl.com,0,89752743435,12.170.231.124
17,新格林耐特科技有限公司,889501163502377504,王帆,622924199911032360,13309408539,fch@jzwl.com,0,49395675656,203.0.123.109
21,浦华众城科技有限公司,607779070544054971,谢强,441284198106138284,13563151538,fch@jzwl.com,0,52520247081,198.33.103.133
22,诺依曼软件信息有限公司,281645682677038830,董桂兰,32032419490829197X,14524411463,fch@jzwl.com,0,21344407327,192.88.98.102
24,七喜科技有限公司,383802499875142058,李玉英,33078220050908694X,15041411253,fch@jzwl.com,0,87435588229,192.5.207.122
23,七喜科技有限公司,119184396679842009,张静,230108195809077136,18253701797,fch@jzwl.com,0,29741306092,192.175.92.13
28,九方传媒有限公司,330005856961779678,周洋,652122198008022208,18898269406,fch@jzwl.com,0,38913719987,192.1.179.86
25,海创传媒有限公司,577483603315887709,曹军,14018119560520918X,14745334011,fch@jzwl.com,0,39415206524,192.88.122.227
26,迪摩信息有限公司,694535845976310899,韦秀珍,340303199909246913,18781951617,fch@jzwl.com,0,92465685379,100.47.232.106
29,四通信息有限公司,817420617984164896,徐敏,511500197909150538,13801467772,fch@jzwl.com,0,40630505922,207.47.67.57
27,天益传媒有限公司,479466053035283751,戴慧,370611198512046611,13604478678,fch@jzwl.com,0,82190586540,192.158.114.210
32,MBP软件传媒有限公司,653512080815443259,杨杨,652824198110278585,15270150767,fch@jzwl.com,0,17085618124,198.51.205.214
34,群英传媒有限公司,904696213650687791,陈荣,510811198204103191,14544315385,fch@jzwl.com,0,87970174231,199.190.209.198
33,群英科技有限公司,934242842323884960,陈勇,53040119930130655X,15992516631,fch@jzwl.com,0,69628497889,192.0.1.5
30,时刻信息有限公司,815894713487237260,张东,520422199706063533,15586726672,fch@jzwl.com,0,86866320479,192.8.181.155
31,通际名联传媒有限公司,287866194857345170,徐伟,440704193806252389,15692182106,fch@jzwl.com,0,95251346111,192.0.58.73
35,迪摩科技有限公司,341613014515772532,张畅,530723195508044653,13670066894,fch@jzwl.com,0,62839319193,200.120.59.100
36,鸿睿思博信息有限公司,722536791969426313,黄鑫,445100197612115129,13478262267,fch@jzwl.com,0,49056828981,192.88.109.185
38,富罳网络有限公司,664498023124361165,赵鹏,320925199103051567,18623967162,fch@jzwl.com,0,51312208988,192.0.227.106
39,佳禾科技有限公司,745974701468656967,段莹,230722198704165475,13563171916,fch@jzwl.com,0,43822138246,192.31.193.45
42,同兴万点网络有限公司,147922111502643292,李玉华,440601193809309147,15850546280,fch@jzwl.com,0,57075462868,198.16.167.67
37,南康信息有限公司,794721792713956989,孙坤,421224197103149063,18917266774,fch@jzwl.com,0,92955274590,101.204.47.238
41,彩虹网络有限公司,483571304745275779,姜玉,511304199208195470,13275392195,fch@jzwl.com,0,94209856963,192.53.235.14
40,晖来计算机信息有限公司,879422067869289411,张俊,451222194008296793,15271537150,fch@jzwl.com,0,39564252239,192.31.208.174
43,巨奥传媒有限公司,641897961163609391,万龙,350723193503207262,14553951108,fch@jzwl.com,0,82397972382,169.194.214.179
44,良诺信息有限公司,205636977568897555,丁红霞,370782195004176177,18238298867,fch@jzwl.com,0,62315508062,1.192.213.133
47,同兴万点网络有限公司,954212750691083292,姚兵,411321195809105391,13771532679,fch@jzwl.com,0,92675106401,110.106.167.24
46,南康信息有限公司,651242984283392125,秦瑞,620524196407246469,13210248101,fch@jzwl.com,0,67451493835,192.175.52.140
45,精芯科技有限公司,375009603958981140,荆岩,340401199712156386,13582348762,fch@jzwl.com,0,36635208017,192.31.193.103
48,浦华众城科技有限公司,772345112804736480,鲁红,610601194912175665,14563853374,fch@jzwl.com,0,34123206258,169.252.7.206
51,和泰信息有限公司,727342500059083927,赵秀云,411100197903208668,18112487490,fch@jzwl.com,0,82664917296,192.88.97.195
49,商软冠联信息有限公司,727783564297481758,谭莉,371727194311140467,13171114546,fch@jzwl.com,0,88500929371,198.54.194.247
54,昂歌信息传媒有限公司,662371817511618668,陈平,420205193808152272,14721101278,fch@jzwl.com,0,82126312209,192.28.95.69
52,易动力信息有限公司,223897135603007120,王淑英,532500196409174939,13242947886,fch@jzwl.com,0,98710825115,192.88.248.100
53,群英传媒有限公司,963812476310017572,崔红霞,510311198706304877,13271826119,fch@jzwl.com,0,69232986544,198.51.101.154
50,华成育卓科技有限公司,576118006516217073,陈建平,34100019851028293X,15206504736,fch@jzwl.com,0,49252886336,192.73.19.133
55,太极网络有限公司,445833255417238696,刘宁,220781193909068893,13489770244,fch@jzwl.com,0,80186177016,193.174.239.51
59,思优信息有限公司,693783261089525600,李桂英,511002195506033771,18140719865,fch@jzwl.com,0,41610525597,192.168.81.56
56,鸿睿思博信息有限公司,111298299563625196,陈霞,610921199001058251,13038562715,fch@jzwl.com,0,95836759879,192.89.1.208
57,菊风公司传媒有限公司,686228133828064309,王博,51332819410623538X,15834348239,fch@jzwl.com,0,65462710578,198.51.71.200
60,网新恒天网络有限公司,963613388353434873,汪楠,652201193704228112,14526823779,fch@jzwl.com,0,59647559479,192.53.223.207
62,黄石金承传媒有限公司,197764607286852346,李丽华,360781198607083135,14573306125,fch@jzwl.com,0,86468482390,192.31.124.158
61,富罳科技有限公司,716091555012376838,赵利,440601198106066559,14586134186,fch@jzwl.com,0,98428639331,198.51.111.185
58,群英传媒有限公司,820892241842847304,刘桂英,620802198404219243,13425317322,fch@jzwl.com,0,55036344173,192.0.5.244
63,立信电子科技有限公司,131951765335091087,潘莹,321182199304035648,13059582856,fch@jzwl.com,0,73135515176,203.0.124.51
64,商软冠联网络有限公司,788440758550189674,黄浩,511112193403170959,15858139910,fch@jzwl.com,0,42072069230,192.175.251.160
67,东方峻景信息有限公司,342612960355752724,李玉,370213194306267926,15509903554,fch@jzwl.com,0,18734902114,192.0.3.141
65,开发区世创网络有限公司,945037432876512599,李超,530901198801176379,18201747308,fch@jzwl.com,0,80992897041,192.146.116.87
69,群英网络有限公司,352287802991252429,刘荣,620982197001169555,18003040260,fch@jzwl.com,0,82150820918,192.0.40.0
68,维旺明传媒有限公司,995998646870632643,吴超,350423198308215933,15176752581,fch@jzwl.com,0,29332194004,203.52.200.102
66,南康传媒有限公司,115614063483875047,丁红霞,360400199707073401,13739944996,fch@jzwl.com,0,73001996316,169.255.173.68
71,趋势科技有限公司,115547952041861678,刘淑华,150422194103162952,13119242658,fch@jzwl.com,0,62998319754,198.49.171.234
72,天益传媒有限公司,963075203440315847,赵玉梅,210711193410072737,14759882969,fch@jzwl.com,0,95978986664,192.31.199.21
70,立信电子网络有限公司,509749984115480692,张凤兰,141021199901228024,18831448869,fch@jzwl.com,0,22019183258,203.0.98.66
75,天开信息有限公司,239908107292983208,曾林,532527193905088163,18091309559,fch@jzwl.com,0,61603244034,197.69.151.29
73,数字100信息有限公司,591276442239673470,刘秀兰,350723196712100625,13803867737,fch@jzwl.com,0,46934429248,192.0.3.2
77,凌云科技有限公司,362113496188618260,谢桂珍,220582193906036592,13363738725,fch@jzwl.com,0,76141926925,125.83.25.152
74,凌颖信息网络有限公司,480898584824132110,林龙,659004194110132462,18955225117,fch@jzwl.com,0,38910658817,192.39.78.4
80,昂歌信息传媒有限公司,390652499415307566,游波,360925200109022102,13861383896,fch@jzwl.com,0,35484633258,192.88.96.89
78,联软传媒有限公司,652203532612083130,胡琴,430525197206294603,15264729836,fch@jzwl.com,0,64055954810,170.250.172.131
76,天益网络有限公司,988057327500393678,王柳,632321194709124111,13924875254,fch@jzwl.com,0,60457034132,192.88.104.4
79,国讯科技有限公司,500520755189073460,张华,540235195708248079,14759124444,fch@jzwl.com,0,98038031076,192.88.106.165
81,银嘉网络有限公司,856196296990171489,谭雷,410725194104206354,18991590323,fch@jzwl.com,0,95499954472,192.52.209.96
83,群英网络有限公司,466712405957397422,郑云,330481194809277624,13181504162,fch@jzwl.com,0,60739904205,194.245.83.34
82,时刻科技有限公司,370055349163255913,李冬梅,41058119720407847X,18216947835,fch@jzwl.com,0,52976610159,192.7.102.122
85,同兴万点科技有限公司,572259378084082261,王淑珍,350724199807254985,14527787646,fch@jzwl.com,0,95575652560,7.218.91.121
86,四通科技有限公司,583218009138243964,吴玉英,152524197012077932,15968020680,fch@jzwl.com,0,26768195559,198.118.165.203
88,菊风公司科技有限公司,168009938560699760,陆云,433126194609109613,15708525119,fch@jzwl.com,0,90934475239,198.51.95.211
87,商软冠联传媒有限公司,114897959229113505,傅鹏,420581198612017883,15120058064,fch@jzwl.com,0,58544509046,100.228.171.10
89,联软信息有限公司,980191050798114687,王建,520326200203128329,13497084048,fch@jzwl.com,0,68054519832,196.113.2.37
90,飞利信网络有限公司,297416031391952373,李玉兰,623000200306192389,15334288198,fch@jzwl.com,0,62621718248,192.12.99.31
84,雨林木风计算机科技有限公司,858181430366108250,贾桂荣,420101194403104874,13044913715,fch@jzwl.com,0,74904960661,169.220.158.47
